cx,cy,ix,iy,ox,oy
-2.6643479050266,-0.1435338248252131,-2.8613172425247146,-0.2654995128632398,-2.641495546822178,-0.10815913803592109
-2.923672014672377,-0.35320481271459037,-3.032934354189376,-0.5759607201746042,-2.978344565801762,-0.2529205064555872
-3.035559601992514,-0.6892819830255523,-3.07015821000165,-0.9582199242559091,-3.1110242371900196,-0.5694002747415258
-3.1058653540142904,-1.0697758899363525,-3.1302485179746027,-1.3068387577931,-3.14205106812774,-0.9625376444105027
-3.1497377112826688,-1.4269750546153652,-3.040434217761166,-1.632466907246307,-3.144787876988387,-1.3486250750892748
-3.0080426493800148,-1.7211835850459323,-2.772726184854653,-1.8948933569749098,-3.0642058341695746,-1.6939532457483086
-2.699098409614439,-1.9083971427875137,-2.432025101522248,-2.0080120297302835,-2.841323151000368,-1.9549836824446976
-2.3604765475313627,-1.977975440853574,-2.085288737446056,-1.9626403402533166,-2.51839905418808,-2.0540970849226157
-2.0036601282014277,-1.9633802179650517,-1.731411587206794,-1.881879372678789,-2.139719544758782,-2.0304697820252167
-1.634128823692455,-1.8999485396884026,-1.3711628960940703,-1.8391494617737514,-1.7458141328420114,-1.9466957274289487
-1.2573623139375716,-1.8230174418584721,-1.026563837700261,-1.7413213283008075,-1.3723891948180056,-1.8598591828635918
-0.8825190135304306,-1.7540179941324598,-0.6753634710159448,-1.6473040885656518,-1.0160654362700865,-1.782395014704465
-0.532907397926098,-1.6608926930824495,-0.33549155886573534,-1.5698325719482735,-0.6550156218610674,-1.7047349953691824
-0.23523761912595303,-1.4987253750711023,-0.09956721335011669,-1.336695395768359,-0.30983259733935875,-1.5887292246974776
-0.015544694873757278,-1.2353810179767415,0.03648171784144331,-1.0175732851239025,-0.07139827976103917,-1.350317742682201
0.1029106925275264,-0.8912462625628035,0.07335723406612607,-0.7124433185206024,0.04621607984169132,-0.9830894785633159
0.09999994809555449,-0.5073766577857934,0.017646745819990237,-0.3632449587146601,0.07983129024649216,-0.5714833849283552
-0.027130085596185276,-0.17608991631472254,-0.139513922648768,-0.06784821191581517,0.002912395985797331,-0.21490273864253984
-0.2685248214177904,0.01583778848288213,-0.45184556562741224,0.06583155441873595,-0.2113054500023095,-0.0009617226356366017
-0.5945138512447176,0.0849873476140836,-0.8349321448235658,0.0870717260129918,-0.5387102714567662,0.07540000237754292
-0.9708541040927275,0.07196975588251643,-1.1992876104189096,0.05144477256537091,-0.9331000266300353,0.059480867035890825
-1.3633025089775805,0.017396008091814366,-1.5213349996339587,-0.001652876766007008,-1.348182875670778,-0.003257126559843313
-1.7376159949150352,-0.038122900954388236,-1.8919624479320842,-0.06091791552907109,-1.7376669787276513,-0.06735197630890896
-2.0595514909208523,-0.05397597645245757,-2.3955982952661743,-0.12341331482163333,-2.0552604959493204,-0.08734168011055678
-2.6643479050266,-0.1435338248252131,-2.8613172425247146,-0.2654995128632398,-2.641495546822178,-0.10815913803592109
