-0.130317,0.017990
-0.256429,0.075682
-0.369433,0.145926
-0.468421,0.226723
-0.553017,0.316291
-0.623133,0.413067
-0.678785,0.515680
-0.719951,0.622888
-0.746666,0.733465
-0.758925,0.846169
-0.756729,0.959667
-0.740289,1.072516
-0.709986,1.183195
-0.666515,1.290188
-0.610837,1.392096
-0.544162,1.487780
-0.467836,1.576458
-0.383189,1.657718
-0.291476,1.731537
-0.193807,1.798203
-0.091079,1.858182
0.015960,1.912078
0.126661,1.960617
0.240459,2.004602
0.356854,2.044908
0.475432,2.082493
0.595939,2.118404
0.717803,2.153640
0.838853,2.187046
0.959065,2.217214
1.078579,2.242858
1.197492,2.262771
1.315849,2.275806
1.433637,2.280847
1.550755,2.276755
1.666966,2.262383
1.781787,2.236560
1.894271,2.198050
2.002703,2.145776
2.104426,2.079399
2.196064,1.999819
2.274382,1.909318
2.337217,1.810982
2.383871,1.707868
2.414601,1.602426
2.430275,1.496457
2.431858,1.391211
2.420220,1.287576
2.396151,1.186198
2.360328,1.087573
2.313326,0.992097
2.255733,0.900078
2.188064,0.811788
2.110857,0.727462
2.024840,0.647246
1.930960,0.571199
1.830461,0.499272
1.724961,0.431329
1.616648,0.367198
1.509206,0.307251
1.402016,0.250032
1.293861,0.195593
1.183889,0.144261
1.071342,0.096502
0.955481,0.052906
0.835555,0.014214
0.710723,-0.018518
0.580084,-0.043776
0.442927,-0.059578
0.299304,-0.063388
0.151950,-0.052427
0.006967,-0.025185
-0.130317,0.017990
