cx,cy,ix,iy,ox,oy
0.2945502991895948,-2.654469965279895,0.8082393066508524,-1.8862190045144447,-0.32004621028022556,-0.5632718669058161
0.2770041963734983,-2.484636867549903,0.8208377995579318,-1.7648593095029612,-0.3428214824155547,-0.24562636218917847
0.2585674857498967,-2.322466143963935,0.8348087790744888,-1.6494668535429047,-0.31011713992699563,-0.04549147765564492
0.24069584266523567,-2.1667507662269156,0.8491008851734452,-1.5388088381811034,-0.2201102853429328,0.08969027108212121
0.22484494246596146,-2.016283706043772,0.8626627578277227,-1.431652464964387,-0.12030568763080564,0.2446835167880888
0.21247046049851961,-1.8698579351194273,0.8744430370102435,-1.3267649354395852,-0.036142683248139254,0.45354942680519045
0.20502807210935609,-1.7262664251588073,0.883390362693929,-1.2229134511535273,0.04836999738670022,0.6706163495886217
0.2039707060003559,-1.584302583996832,0.8884533748517012,-1.1188652136530426,0.15399407408927615,0.8410778533321487
0.21001081013236123,-1.4428773977917344,0.8885915676480267,-1.0133938954823414,0.292932040010007,0.9321043292573025
0.22212330856183948,-1.3011777479898579,0.8847685673054315,-0.9064679825665947,0.45945717968378424,0.9569015243702543
0.23903419296797096,-1.1584300431311199,0.8822817677197405,-0.8006396446681813,0.6455880489674755,0.934464467240936
0.2594694550299359,-1.0138606917554358,0.886994183587647,-0.698798260516679,0.8433432037179477,0.8837881864392779
0.28215508642691456,-0.8666961024027223,0.9047688296058448,-0.6038332088416658,1.0447411997920681,0.823867710535212
0.30609661257110615,-0.7164748167686009,0.9414687204710269,-0.5186338683727192,1.2418613010029946,0.7736369756340556
0.3329616348358019,-0.5657079057010336,1.0028291284526152,-0.44608333528075556,1.4321611251268387,0.7466174987903743
0.36589201535976107,-0.41855263015208083,1.0885004176293027,-0.3887654410877242,1.6226243072700943,0.746744444425212
0.408045255791307,-0.2791837144740907,1.189512317597102,-0.3488400419536659,1.8211378732104784,0.7768214557760253
0.4625788577787622,-0.15177588301941156,1.2962402998139557,-0.3284348166703055,2.0285396639242763,0.8252136667705605
0.5326503229704488,-0.04050386014039175,1.3990598357378068,-0.32967744402936794,2.232834629200031,0.8540012118502371
0.62141715301469,0.05045762981062123,1.4883463968265962,-0.3546956028225779,2.420659981141881,0.8226902302327369
0.7310577413763274,0.11775373002155155,1.5563959858863865,-0.40464019513080657,2.5779875992397896,0.7132085581108454
0.8584653281755095,0.16245516784537198,1.6048343361936834,-0.4759170489953958,2.6895499554506648,0.549252042958921
0.9987578811402916,0.18711921546633495,1.6381162084432916,-0.5634931572628005,2.740239503027443,0.3589164654516986
1.1470520541479527,0.1943042452368105,1.6606969963710034,-0.6623351908166516,2.7323059854280967,0.16090778489066238
1.2984645010757703,0.18656862950916833,1.677032093712612,-0.7674098205405807,2.6946981290433296,-0.040511462193446354
1.44814801346692,0.166416202778946,1.6915112617910661,-0.8737594321957061,2.65845108492599,-0.24232587443353992
1.5922700272455519,0.13481952936664368,1.7065330431600785,-0.9787235217457846,2.642255633921619,-0.44268178375571443
1.7281264145366246,0.09104817229385263,1.7221935157814159,-1.0822977548266686,2.644973333896614,-0.6415916576706286
